TÍTULO;TIPO;AÑO;CONTENIDO
La búsqueda / La leyenda del tesoro perdido;Imagen real;2004;Original 
Aliens of the Deep / Misterios del océano;Imagen real;2005;Documental
Winnie Pooh y el pequeño efelante / La película de Héffalump;Animada;2005;Spin-Off
Tarzán 2;Animada;2005;Secuela
Lilo y Stitch 2: En corto circuito / Lilo y Stitch 2: El efecto del defecto;Animada;2005;Secuela
Kim Possible la película: Todo un drama / Kim Possible: Sí es para Tanto;Animada;2005;Spin-Off
La familia Proud: La película / Los Proud: La Película;Animada;2005;Spin-Off
Una niñera a prueba de balas / Niñera a prueba de balas;imagen real;2005;Original 
Soñando, soñando triunfé patinando / Sueños sobre hielo;Imagen real;2005;Original 
Herbie: A Tope / Herbie a toda marcha;Imagen real;2005;Reboot
Sky High: Una escuela de altos vuelos / Súper Escuela de Héroes;Imagen real;2005;Original 
El juego que hizo historia;Imagen real;2005;Original 
Chicken Little;Animada;2005;Original 
Las crónicas de Narnia: el león, la bruja y el armario / Las crónicas de Narnia: el león, la bruja y el ropero;Imagen real;2005;Original 
Las Locuras de Kronk / El emperador y sus locuras 2: La Gran Aventura de Kronk;Animada;2005;Secuela
Bambi II: El príncipe del bosque;Animada;2006;Secuela
Camino a la gloria;Imagen real;2006;Original 
Roving Mars;Imagen real;2006;Documental
Rescate en la Antártida / Bajo cero;Imagen real;2006;Original 
Un Papá con Pocas Pulgas / Cariño, estoy hecho un perro;Imagen real;2006;Original 
Salvaje / Vida salvaje;Imagen real;2006;Original 
Cars / Cars: Una aventura sobre ruedas;Animada;2006;Original 
Leroy y Stitch;Animada;2006;Secuela
Tierra de osos 2 / Hermano Oso 2;Animada;2006;Secuela
El zorro y el sabueso 2 / Tod y Toby 2;Animada;2006;Secuela
Piratas del Caribe: El cofre del hombre muerto / Piratas de Caribe: El Cofre de la Muerte;Imagen real;2006;Secuela
Buddy, Familia al recate / Air Buddies;Imagen real;2006;Spin-Off
Invencible;Imagen real;2006;Original 
Santa Cláusula 3 / Santa Claus 3: Por una navidad sin frío;Imagen real;2006;Secuela
La Cenicienta 3: Un giro en el tiempo / Cenicienta: ¿Qué pasaría sí...?;Animada;2007;Secuela
La Familia del Futuro / Descubriendo a los Robinson;Animada;2007;Original 
Piratas del Caribe: en el fin del mundo;Imagen real;2007;Secuela
Ratatouille;Animada;2007;Original 
Superdog / Supercan;Imagen real;2007;Original 
La historia de Pixar;Imagen real;2007;Documental
Entrenando a papá / Papá por sorpresa;Imagen real;2007;Original 
Encantada / Encantada: la historia de Giselle;Mixta;2007;Original 
La búsqueda 2: El diario secreto ;Imagen real;2007;Secuela
Hannah Montana & Miley Cyrus en Concierto: Lo Mejor de Ambos Mundos;Imagen real;2008;Spin-Off
Loco Viaje al Campus / Un viaje de aquellos;Imagen real;2008;Original 
Las crónicas de Narnia: el príncipe Caspian;Imagen real;2008;Original 
Dasavathaaram;Imagen real;2008;Original 
WALL·E;Animada;2008;Original 
La sirenita 3: los comienzos de Ariel / El Origen de la sirenita;Animada;2008;Precuela 
Campanilla / Tinker Bell;Animada;2008;Spin-Off
Snow Buddies - Cachorros en la nieve / Buddies en la nieve;Imagen real;2008;Spin-Off
Una Chihuahua de Beverly Hills/ Un Chihuahua de Beverly Hills;Imagen real;2008;Original 
Cuentos que no son cuentos / Más allá de los Sueños;Imagen real;2008;Original 
Morning Light;Imagen real;2008;Documental
High School Musical 3: Fin de Curso/ High School Musical 3: La Gradaución;Imagen real;2008;Secuela
Roadside Romeo;Animada;2008;Original 
Bolt: Un Perro fuera de serie;Animada;2008;Original 
Jonas Brothers en concierto 3D;Imagen real;2009;Spin-Off
La Montaña Embrujada;Imagen real;2009;Original 
Hannah Montana: La película;Imagen real;2009;Spin-Off
La Tierra;Imagen real;2009;Documental
Los muchachos: la historia de los hermanos Sherman;Imagen real;2009;Documental
Trail of the Panda;Imagen real;2009;Original 
Up: Una Aventura de Altura;Animada;2009;Original 
Kika Superbruja y el Libro de Hechizos;Imagen real;2009;Original 
Fuerza G / G-Force: Licencia para espiar;Imagen real;2009;Original 
Walt y el grupo;Imagen real;2009;Documental
Space Buddies;Imagen real;2009;Spin-Off
The Book of Masters;Imagen real;2009;Original 
Los Fantasmas de Scrooge / Cuento de navidad;Animada;2009;Original 
Par de colmilludos / Dos canguros muy maduros;Imagen real;2009;Original 
Tinker Bell y el tesoro perdido / Campanilla y el tesoro perdido;Animada;2009;Spin-Off
La princesa y el sapo / Tiana y el sapo;Animada;2009;Original 
Tinker Bell: Hadas al rescate / Campanilla y el gran rescate;Animada;2010;Spin-Off
Alicia en el país de las maravillas;Animada;2010;Remake 
Océanos;Imagen real;2010;Documental
El príncipe de Persia: Las arenas del tiempo;Imagen real;2010;Original 
Toy Story 3;Animada;2010;Secuela
El aprendiz de brujo;Imagen real;2010;Original 
El misterio del los flamencos;Imagen real;2010;Documental
Campeón / Secretariat;Imagen real;2010;Original 
Do Dooni Chaar;Imagen real;2010;Original 
