;;;
;;;
Columna1;Título en español;Título original;Fecha de estreno
D;El pequeño indio / El pequeño fugitivo;One Little Indian;
W;Robin Hood;Robin Hood;
D;Superpapá;Superdad;
D;Herbie, un volante loco;Herbie Rides Again;1974
D;Los osos y yo;The Bears and I;
D;Aventurero en Hawai / El cowboy náufrago;The Castaway Cowboy;
D;La isla del fin del mundo;The Island at the Top of the World;
D;El hombre más fuerte del mundo;The Strongest Man in the World;1975
D;La montaña embrujada;Escape to Witch Mountain;
D;Los más torpes del Oeste;The Apple Dumpling Gang;
D;Se nos ha perdido un dinosaurio;One of Our Dinosaurs Is Missing';
D;Las mejores aventuras de la naturaleza de Walt Disney;The Best of Walt Disney's True-Life Adventures;
D;Nuestro pony salvaje;Ride a Wild Pony;
D;Secuestro simulado;No Deposit, No Return;1976
D;El tesoro de Matecumbe;Treasure of Matecumbe;
D;Gus;Gus;
D;Un candidato muy peludo;The Shaggy D.A.;
D;Viernes loco;Freaky Friday;
D;Los pequeños ladrones;The Littlest Horse Thieves;1977
W;Las aventuras de Winnie the Pooh / Lo Mejor de Winnie the Pooh;The Many Adventures of Winnie the Pooh;
D;Historia de dos criaturas;A Tale of Two Critters;
W;Bernardo y Bianca / Los rescatadores;The Rescuers;
D;Herbie en el gran prix de Montecarlo;Herbie Goes to Montecarlo;
D;Pedro y el dragón Elliot;Pete's Dragon;
D;El secreto del castillo;Candleshoe;
D;Los pequeños extraterrestres;Return from Witch Mountain;1978
D;Plomo caliente y pies fríos / La herencia de los Bloodshy;Hot Lead and Cold Feet;
D;El gato que vino del espacio;The Cat From Outer Space;
D;Detectives improvisadas;The North Avenue Irregulars;1979
D;Los Más Torpes Del Oeste 2;The Apple Dumpling Gang Rides Again;
D;Un astronauta en la corte del rey Arturo;Unidentified Flying Oddball;
D;El abismo negro / El agujero negro;The Black Hole;
D;The London Connection;The London Connection;
;;;
;;;
;;;
;Título en español;Título original;Año de estreno
D;Locuras de Medianoche;Midnight Madness;1980
D;El observador del bosque / Los Ojos del Bosque;The Watcher in the Woods;
D;Herbie Torero / Cupido motorizado rumbo a Río;Herbie Goes Bananas;
D;El último vuelo del Arca de Noé;The Last Flight of Noah's Ark;
D;Popeye;Popeye;
D;Un Pacto de Mil Demonios;The Devil and Max Devlin;1981
D;El Secreto de Amy;Amy;
D;Verdugo de dragones / El Dragón del Lago de Fuego;Dragonslayer;
W;El zorro y el sabueso / Tod y Toby;The Fox and the Hound;
D;Condorman;Condorman;
D;Fuga de noche;Night Crossing;1982
D;Tron;Tron;
D;Tex;Tex;
D;Misterio en Malta / Intriga en Malta;Trenchcoat;1983
D;El Carnaval De Las Tinieblas;Something Wicked This Way Comes;
D;Los Lobos No Lloran;Never Cry Wolf;
D;A través de la oscuridad;Love Leads the Way: A True Story;1984
D;Where the Toys Come from;Where the Toys Come from;
D;Regreso a Oz / Oz, un mundo fantástico;Return to Oz;1985
W;El caldero mágico / Taron y el caldero mágico;The Black Cauldron;
D;Natty Gann;The Journey Of Natty Gann;
D;Navidades Mágicas;One Magic Christmas;
W;Policías y ratones / Basil, el ratón superdetective;The Great Mouse Detective;1986
D;El vuelo del navegante;Flight of the Navigator;
D;Benji el Perseguido / Cuatro cachorros para salvar;"Benji the Hunted""";1987
D;La tostadora valiente;The Brave Little Toaster;
D;La Saga del Indomable;Return to Snowy River;1988
W;Oliver y su pandilla;Oliver and Company;
D;Querida, encogí a los niños / Cariño, He Encogido a los Niños;Honey, I Shrunk the Kids;1989
D;Cheetah, Una Aventura en la Selva;Cheetah;
W;La sirenita;The Little Mermaid;
;;;
;;;
;;;
;Título en español;Título original;Año de estreno
T;PatoAventuras - La película: El tesoro de la lámpara perdida;DuckTales the Movie: Treasure of the Lost Lamp;1990
W;Bernardo y Bianca en Cangurolandia / Los rescatadores en Cangurolandia;The Rescuers Down Under;
D;Colmillo Blanco;White Fang;1991
D;Náufragos;Shipwrecked;
D;La fuerza del valor;Wild Hearts Can't Be Broken;
D;Rocketeer;The Rocketeer;
W;La bella y la bestia;Beauty and the Beast;
D;La pandilla;Newsies;1992
D;Cariño, he agrandado al niño / Querida, agrandé al bebé;Honey, I Blew Up the Kid;
D;Somos los mejores / Los campeones;The Mighty Ducks;
W;Aladdín;Aladdin;
D;Los Muppets: Una historia de Navidad / Los Teleñecos en Cuento de Navidad;The Muppets Christhmas Carol;
D;Homeward Bound: The Incredible Journey;Homeward Bound: The Incredible Journey;1993
D;A Far Off Place;A Far Off Place;
