Título en español;Título original;Fecha de estreno;$ Recaudación 
McFarland, sin límites;McFarland, USA;2015;"
44480275"
La Cenicienta;Cinderella;2015;201151353
El Reino de los Monos;Monkey Kingdom;2015;"
16432322"
Tomorrowland: El mundo del mañana;Tomorrowland;2015;"
93436322"
Intensa-Mente / Del Revés;Inside Out;2015;"
356461711"
Descendientes;Descendants;2015;
Un Gran Dinosaurio / El viaje de Arlo;The Good Dinosaur;2015;123087120
Horas contadas / La hora decisiva;The Finest Hours;2016;"
27569558"
Zootopia / Zootrópolis;Zootopia;2016;"
341268248"
El libro de la selva;The Jungle Book;2016;"
364001123"
Alicia a través del espejo;Alice Through the Looking Glass;2016;77042381
Tini: El gran cambio de Violetta;Tini: El Gran Cambio De Violetta;2016;17000172
El buen amigo gigante / Mi gran amigo el gigante;The BFG;2016;
Buscando a Dory;Finding Dory;2016;"
486295561"
Mi amigo el dragón / Peter y el dragón;Pete's Dragon;2016;55483770
Reina de Katwe;Queen of Katwe;2016;"
8874389"
Moana: Un mar de aventuras / Vaiana;Moana;2016;"
246082029"
Growing Up Wild;Growing Up Wild;2016;
Dangal;Dangal;2016;
La bella y la bestia;Beauty and the Beast;2017;1266,115964
La marcha de los pingüinos 2;L'Empereur;2017;2323262
Nacidos en China;Born in China;2017;
Piratas del Caribe: La venganza de Salazar;Pirates of the Caribbean: Dead Men Tell No Tales;2017;795,922,298
Cars 3;Cars 3;2017; 383,930,656
Ghost of the Mountains;Ghost of the Mountains;2017;
Jagga Jasoos;Jagga Jasoos;2017;1154862
Coco;Coco;2017;814641172
Expedition China;Expedition China;2017;
Un viaje en el tiempo / Un pliegue en el tiempo;A Wrinkle in Time;2018;132675864
Los Increíbles 2;Incredibles 2;2018;1,243225667
Christopher Robin;Christopher Robin;2018;197744825
El Cascanueces y los cuatro reinos;The Nutcracker and the Four Realms;2018;173961069
Wi-Fi Ralph / Ralph Rompe Internet;Ralph Breaks the Internet;2018;529323962
El Regreso de Mary Poppins;Mary Poppins Returns;2018;362529106
Dumbo;Dumbo;2019;353284621
Pingüinos;Penguins;2019;7699452
Aladdín;Aladdin;2019;1054304000
Toy Story 4;Toy Story 4;2019;1073841394
El Rey León;The Lion King;2019;1662020819
Maléfica: Dueña del Mal / Maléfica: Maestra del Mal;Maleficent: Mistress of Evil;2019;491730089
La Dama y el Vagabundo;Lady and the Tramp;2019;
Noelle;Noelle;2019;
Frozen II;Frozen II;2019;1453683476
Togo;Togo;2019;
Las aventuras de Timmy Fracaso / DeSastre y Total: Agencia de detectives nº 1;Timmy Failure: Mistakes Were Made;2020;
Unidos / Onward;Onward;2020;141888276
Stargirl;Stargirl;2020;
Magic Camp: Campamento Mágico;Magic Camp;2020;
Phineas y Ferb, la película: Candace contra el Universo;Phineas and Ferb the Movie: Candace Against the Universe;2020;5689121
Artemis Fowl: El Mundo Subterráneo;Artemis Fowl;2020;
Hamilton;Hamilton;2020;
El Único y Gran Iván / El Magnífico Iván;The One and Only Ivan;2020;
Mulán;Mulan;2020;69965374
Sociedad Secreta de Hijos Reales / El club secreto de los no herederos al trono;Secret Society of Second-Born Royals;2020;
Belleza Negra;Black Beauty;2020;
Amandrihada;Godmothered;2020;
Safety: La última línea de Defensa;Safety;2020;
Soul;Soul;2020;121977511
Flora y Ulises;Flora and Ulysses;2021;
Raya y el Último Dragón;Raya and the Last Dragon;2021;130423032
Cruella;Cruella;2021;233503234
Luca;Luca;2021;51074773
Jungle Cruise;Jungle Cruise;2021;220889446
Encanto;Encanto;2021;261292688
El diario de Greg;Diary of a Wimpy Kid;2021;
La era de hielo: Las aventuras de Buck / Ice Age: Las Aventuras de Buck;The Ice Age Adventures of Buck Wild;2022;
Sneakerella;Sneakerella;2022;
Red;Turning Red;2022;21813358
Más barato por docena / Doce en casa;Cheaper by the Dozen;2022;
Chip y Dale al rescate / Chip y Chop: los guardianes rescatadores;Chip 'n' Dale: Rescue Rangers;2022;62319
Stargirl en Hollywood;Hollywood Stargirl;2022;
Lightyear;Lightyear;2022;226425420
Pinocho;Pinocchio;2022;33731
Abracadabra 2 / El Retorno de las Brujas 2;Hocus Pocus 2;2022;
Desencantada;Disenchanted;2022;
Un Mundo Extraño / Mundo extraño;Strange World;2022;73621640
Una noche en el museo: el regreso de Kahmunrah / Noche en el museo: El retorno de Kahmunrah;Night at the Museum: Kahmunrah Rises Again;2022;
Peter Pan & Wendy;Peter Pan & Wendy;2023;
La Sirenita;The Little Mermaid;2023;569626289
Elementos / Elemental;Elemental;2023;496444308
Mansión Embrujada / Mansión Encantada;Haunted Mansion;2023;117449790
Wish: El poder de los deseos;Wish;2023;254997360
Intensa-Mente 2 / Del revés 2;Inside Out 2;2024;1698863816
Moana 2 / Vaiana 2;Moana 2;2024;1059242164
Mufasa: El Rey León;Mufasa: The Lion King;2024;722631756
Blanca Nieves / Blancanieves;Snow White;2025;205679463
Lilo y Stitch;Lilo & Stitch;2025;1036701218
Elio;Elio;2025;154075778
Otro viernes de locos 2;Freakier Friday 2;2025;149925788
