Título en español;Título original;Fecha de estreno;$ Recaudación 
Un ángel para Charly;Charley and the Angel;1973;
El pequeño indio / El pequeño fugitivo;One Little Indian;1973;
Robin Hood;Robin Hood;1973;
Superpapá;Superdad;1973;
Herbie, un volante loco;Herbie Rides Again;1974;38229000
Los osos y yo;The Bears and I;1974;
Aventurero en Hawai / El cowboy náufrago;The Castaway Cowboy;1974;
La isla del fin del mundo;The Island at the Top of the World;1974;
El hombre más fuerte del mundo;The Strongest Man in the World;1975;
La montaña embrujada;Escape to Witch Mountain;1975;
Los más torpes del Oeste;The Apple Dumpling Gang;1975;"
131246872"
Se nos ha perdido un dinosaurio;One of Our Dinosaurs Is Missing';1975;
Las mejores aventuras de la naturaleza de Walt Disney;The Best of Walt Disney's True-Life Adventures;1975;
Nuestro pony salvaje;Ride a Wild Pony;1975;
Secuestro simulado;No Deposit, No Return;1976;
El tesoro de Matecumbe;Treasure of Matecumbe;1976;
Gus;Gus;1976;
Un candidato muy peludo;The Shaggy D.A.;1976;
Viernes loco;Freaky Friday;1976;98067733
Los pequeños ladrones;The Littlest Horse Thieves;1977;
Las aventuras de Winnie the Pooh / Lo Mejor de Winnie the Pooh;The Many Adventures of Winnie the Pooh;1977;2100
Historia de dos criaturas;A Tale of Two Critters;1977;
Bernardo y Bianca / Los rescatadores;The Rescuers;1977;159743914
Herbie en el gran prix de Montecarlo;Herbie Goes to Montecarlo;1977;"
105847527"
Pedro y el dragón Elliot;Pete's Dragon;1977;39588000
El secreto del castillo;Candleshoe;1977;
Los pequeños extraterrestres;Return from Witch Mountain;1978;16393000
Plomo caliente y pies fríos / La herencia de los Bloodshy;Hot Lead and Cold Feet;1978;
El gato que vino del espacio;The Cat From Outer Space;1978;
Detectives improvisadas;The North Avenue Irregulars;1979;
Los Más Torpes Del Oeste 2;The Apple Dumpling Gang Rides Again;1979;20931111
Un astronauta en la corte del rey Arturo;Unidentified Flying Oddball;1979;
El abismo negro / El agujero negro;The Black Hole;1979;120377374
The London Connection;The London Connection;1979;
Locuras de Medianoche;Midnight Madness;1980;9088096
El observador del bosque / Los Ojos del Bosque;The Watcher in the Woods;1980;
Herbie Torero / Cupido motorizado rumbo a Río;Herbie Goes Bananas;1980;18000000
El último vuelo del Arca de Noé;The Last Flight of Noah's Ark;1980;
Popeye;Popeye;1980;49825005
Un Pacto de Mil Demonios;The Devil and Max Devlin;1981;48517980
El Secreto de Amy;Amy;1981;
Verdugo de dragones / El Dragón del Lago de Fuego;Dragonslayer;1981;
El zorro y el sabueso / Tod y Toby;The Fox and the Hound;1981;133118889
Condorman;Condorman;1981;
Fuga de noche;Night Crossing;1982;12903059
Tron;Tron;1982;77184895
Tex;Tex;1982;20643199
Misterio en Malta / Intriga en Malta;Trenchcoat;1983;11519089
El Carnaval De Las Tinieblas;Something Wicked This Way Comes;1983;15136765
Los Lobos No Lloran;Never Cry Wolf;1983;70669955
A través de la oscuridad;Love Leads the Way: A True Story;1984;
Where the Toys Come from;Where the Toys Come from;1984;
Regreso a Oz / Oz, un mundo fantástico;Return to Oz;1985;25215934
El caldero mágico / Taron y el caldero mágico;The Black Cauldron;1985;50553142
Natty Gann;The Journey Of Natty Gann;1985;"
22302956"
Navidades Mágicas;One Magic Christmas;1985;"
31415432"
Policías y ratones / Basil, el ratón superdetective;The Great Mouse Detective;1986;53637367
El vuelo del navegante;Flight of the Navigator;1986;42183197
Benji el Perseguido / Cuatro cachorros para salvar;"Benji the Hunted""";1987;32798382
La tostadora valiente;The Brave Little Toaster;1987;
La Saga del Indomable;Return to Snowy River;1988;"
28073384"
Oliver y su pandilla;Oliver and Company;1988;102254492
Querida, encogí a los niños / Cariño, He Encogido a los Niños;Honey, I Shrunk the Kids;1989;276191669
Cheetah, Una Aventura en la Selva;Cheetah;1989;16653473
La sirenita;The Little Mermaid;1989;223726012
PatoAventuras - La película: El tesoro de la lámpara perdida;DuckTales the Movie: Treasure of the Lost Lamp;1990;"
36107823"
Bernardo y Bianca en Cangurolandia / Los rescatadores en Cangurolandia;The Rescuers Down Under;1990;55796728
Colmillo Blanco;White Fang;1991;69540672
Náufragos;Shipwrecked;1991;
La fuerza del valor;Wild Hearts Can't Be Broken;1991;"
14617333"
Rocketeer;The Rocketeer;1991;"
93256673"
La bella y la bestia;Beauty and the Beast;1991;363017667
La pandilla;Newsies;1992;"
5497481"
Cariño, he agrandado al niño / Querida, agrandé al bebé;Honey, I Blew Up the Kid;1992;119162518
Somos los mejores / Los campeones;The Mighty Ducks;1992;103120810
Aladdín;Aladdin;1992;441969178
Los Muppets: Una historia de Navidad / Los Teleñecos en Cuento de Navidad;The Muppets Christhmas Carol;1992;55417615
Homeward Bound: The Incredible Journey;Homeward Bound: The Incredible Journey;1993;85182343
A Far Off Place;A Far Off Place;1993;26248558
Las aventuras de Huckleberry Finn;The Adventures of Huck Finn;1993;49080505
Abracadabra / El retorno de las brujas;Hocus Pocus;1993;80147079
Jamaica bajo cero / Elegidos para el triunfo;Cool Runnings;1993;"
140392731"
Los tres mosqueteros;The Three Musketeers;1993;"
109310377"
El extraño mundo de Jack / Pesadilla antes de Navidad;The Nightmare Before Christmas;1993;"
100026637"
Voluntad de hierro;Iron Will;1994;"
42610902"
Cheque en blanco;Blank Check;1994;"
63170804"
Vuelven los mejores / Los Campeones 2;D2: The Mighty Ducks;1994;94226333
Colmillo Blanco 2;White Fang 2: The Myth of the White Wolf;1994;"
18083994"
El retorno de Jafar;The Return of Jafar;1994;
El rey león;The Lion King;1994;761640898
Angels in the Outfield;Angels in the Outfield;1994;103798152
Squanto: A Warrior's Tale;Squanto: A Warrior's Tale;1994;6858345
Santa Cláusula / ¡Vaya Santa Claus!;The Santa Clause;1994;298369717
El libro de la selva: la aventura continúa;The Jungle Book;1994;"
88930321"
Pesos pesados;Heavyweights;1995;"
34245779"
Man of the House;Man of the House;1995;77573459
La leyenda de Pecos Bill;Tall Tale;1995;"
15983331"
Goofy, la película / Goofy e hijo;A Goofy Movie;1995;68479579
Pocahontas;Pocahontas;1995;"
274370957"
